keyword,monthly_volume,difficulty,intent,category,used,notes
"iris usa storage bins review",600,22,commercial,storage,false,strong-commercial — single brand review
"sterilite storage bins review",900,28,commercial,storage,false,strong-commercial — single brand review
"rubbermaid storage containers review",1300,35,commercial,storage,false,strong-commercial — single brand review
"under sink storage organizer review",1100,30,commercial,storage,false,strong-commercial — single product review
"over door storage organizer review",800,24,commercial,storage,false,strong-commercial — single product review
"best storage containers for moving",1500,30,commercial,storage,false,roundup; seasonal — traffic peaks March–August (moving season)
"how to organize a pantry with bins",5200,38,informational,storage,false,low-conversion — informational; use on storage category page; not a standalone review
"what size storage bins fit under a bed",1800,22,informational,storage,false,low-conversion — informational; use as FAQ content within a storage review
"shoe storage cabinet",22200,41,commercial,storage,true,strong-commercial — single product review; Semrush-verified data (unlike most rows in this file, which are estimated); high volume opportunity, difficulty in line with previously successful picks like cosori/philips air fryer reviews
"shoe cabinet entryway",8100,31,commercial,storage,false,long-tail variant of shoe storage cabinet — Semrush-verified, use in FAQ or secondary keywords
"entryway shoe cabinet",6600,28,commercial,storage,false,long-tail variant of shoe storage cabinet — Semrush-verified, use in FAQ or secondary keywords
"best drawer organizers for kitchen",2800,38,commercial,organization,false,roundup — covers multiple products
"best pantry organizers",3400,52,commercial,organization,false,roundup; high-competition — major lifestyle publications dominate
"best refrigerator organizer bins",1600,32,commercial,organization,false,roundup — covers multiple products
"best desk organizer",2400,45,commercial,organization,false,roundup — covers multiple products
"best closet organizer system",3800,58,commercial,organization,false,roundup; high-competition — dominated by major home publications
"best bathroom organizer",2100,42,commercial,organization,false,roundup — covers multiple products
"lazy susan organizer review",900,25,commercial,organization,false,strong-commercial — single product review
"spice rack organizer review",1100,28,commercial,organization,false,strong-commercial — single product review
"acrylic organizer review",700,22,commercial,organization,false,strong-commercial — can target a specific brand
"bamboo drawer organizer review",600,20,commercial,organization,false,strong-commercial — single product review
"lid organizer for pots and pans review",800,22,commercial,organization,false,strong-commercial — single product review
"linus drawer organizer review",500,18,commercial,organization,false,strong-commercial — single product review; lowest difficulty in category
"best mail organizer for counter",900,25,commercial,organization,false,roundup — covers multiple products
"best junk drawer organizer",1200,28,commercial,organization,false,roundup — covers multiple products
"best kitchen cabinet organizer",2600,48,commercial,organization,false,roundup; high-competition — major home publications dominate
"how to organize kitchen cabinets",9800,55,informational,organization,false,low-conversion — informational; high traffic but no direct affiliate angle; use on organisation category page only
"how to declutter your home fast",7200,48,informational,organization,false,low-conversion — informational; no affiliate angle; do not target
"pantry organization ideas",12000,65,informational,organization,false,low-conversion — informational; high traffic but no direct affiliate angle; use on category page only
"bissell little green review",2800,35,commercial,cleaning,true,strong-commercial — single product review; good entry point for cleaning category
"swiffer wet jet review",3200,48,commercial,cleaning,false,strong-commercial — single product review
"o cedar mop review",1600,30,commercial,cleaning,true,strong-commercial — single product review
"shark vacmop review",1200,32,commercial,cleaning,true,strong-commercial — single product review
"scrub daddy sponge review",1800,28,commercial,cleaning,false,strong-commercial — single product review; low difficulty entry point
"tineco floor washer review",1500,38,commercial,cleaning,false,strong-commercial — single product review
"black decker dustbuster review",900,28,commercial,cleaning,false,strong-commercial — single product review
"best steam mop 2026",2100,52,commercial,cleaning,false,roundup — covers multiple products
"best spin mop",2400,45,commercial,cleaning,false,roundup — covers multiple products
"best microfiber mop",1400,35,commercial,cleaning,false,roundup — covers multiple products
"best cordless vacuum under 100",3200,58,commercial,cleaning,false,roundup; high-competition — Wirecutter and major tech publications dominate
"best robot vacuum under 200",4500,65,commercial,cleaning,false,roundup; high-competition — extremely competitive; long-term target only
"best vacuum for pet hair",6800,72,commercial,cleaning,false,roundup; high-competition — highest difficulty in cleaning category; avoid until site has strong authority
"best dish brush",1900,30,commercial,cleaning,false,roundup — covers multiple products; low difficulty relative to volume
"best toilet brush review",1100,25,commercial,cleaning,false,roundup — covers multiple products; low difficulty
"best shower cleaner spray",1700,35,commercial,cleaning,false,roundup — covers multiple products
"best mop for hardwood floors",2900,50,commercial,cleaning,false,roundup; high-competition — major home publications dominate
"how often should you clean your washing machine",4100,32,informational,cleaning,false,low-conversion — informational; use as FAQ content only; no direct affiliate angle
"best way to clean stainless steel",3800,40,informational,cleaning,false,low-conversion — informational; use as FAQ content within a cleaning review
"how to deep clean a kitchen",6200,45,informational,cleaning,false,low-conversion — informational; use on cleaning category page; not a standalone review
